"Weight","Zone2","Zone3","Zone4","Zone5","Zone6","Zone7","Zone8"
"1","7.32","8","8.22","8.58","8.88","9","9.14"
"2","8.07","8.7","9.39","9.59","10","10.21","10.51"
"3","8.2","9.06","9.9","10.2","10.63","10.99","11.62"
"4","8.45","9.27","10.37","10.83","11.17","11.7","12.46"
"5","8.49","9.34","10.74","11.28","11.56","12.17","13.1"
"6","8.78","9.6","10.88","11.51","11.84","12.47","13.2"
"7","9.24","9.82","11.04","11.76","12.05","12.8","13.71"
"8","9.39","10.04","11.2","11.99","12.42","13.19","14.18"
"9","9.65","10.23","11.32","12.08","12.69","13.74","15.07"
"10","9.82","10.25","11.44","12.42","13.08","14.55","16.07"
"11","10.24","10.66","11.55","12.62","13.65","15.77","17.13"
"12","10.41","10.99","11.65","12.8","13.87","16.4","18.1"
"13","10.66","11.25","11.8","13.04","14.58","17.57","19.28"
"14","10.93","11.56","11.92","13.23","15.27","18.66","20.39"
"15","10.99","11.81","12.08","13.85","15.97","19.23","21.42"
"16","11.15","11.96","12.22","13.9","16.48","20.05","22.07"
"17","11.35","12.44","12.49","14.43","17.33","21.28","23.13"
"18","11.37","12.61","12.86","15.14","18.04","21.72","24.25"
"19","11.42","12.83","12.89","15.38","18.41","22.32","25.07"
"20","11.58","13.06","13.33","16.14","19.21","23.16","26.24"
"21","11.93","13.58","13.91","16.48","20","24.04","27.29"
"22","12.22","13.86","14.46","17.24","20.82","24.92","28.48"
"23","12.35","14.23","14.91","17.75","21.6","25.75","29.62"
"24","12.59","14.56","15.39","18.31","22.64","26.63","30.79"
"25","12.73","14.86","15.58","18.84","23.19","27.47","31.93"
"26","13.22","15.23","16.24","19.42","24.05","28.65","33"
"27","13.53","15.59","16.41","19.74","24.83","29.17","34.13"
"28","13.77","16.11","17.33","20.84","26.24","30.7","35.32"
"29","14.1","16.46","17.87","21.31","26.99","31.46","36.37"
"30","14.25","16.71","18.4","21.94","27.42","31.85","37.54"
"31","14.46","16.95","18.47","22.09","27.99","32.53","38.41"
"32","14.56","16.99","18.78","22.49","28.52","33.1","39.57"
"33","14.7","17.54","19.62","23.54","29.56","34.29","40.64"
"34","14.79","17.76","20.05","23.91","30.11","34.87","41.78"
"35","15.05","18.52","20.52","24.49","30.85","35.76","42.89"
"36","15.27","18.53","20.89","25.33","31.62","36.99","43.74"
"37","15.67","18.95","21.3","25.89","32.29","37.8","44.58"
"38","15.89","19.24","21.77","26.51","33.02","38.69","45.41"
"39","16.12","19.62","22.27","26.81","33.87","39.75","46.34"
"40","16.14","19.88","22.33","27.11","34.55","40.21","47.11"
"41","16.35","20.35","22.93","27.78","35.33","41.07","47.65"
"42","16.6","20.8","23.59","28.4","36.16","42.16","48.36"
"43","16.82","20.91","23.86","29.29","37.4","43.7","49.2"
"44","17.21","21.32","24.49","29.81","37.73","44.2","49.72"
"45","17.22","21.64","24.93","30.41","38.35","45.5","50.55"
"46","17.45","21.65","25.27","30.67","39","45.98","51.39"
"47","17.57","21.93","25.66","31.19","39.52","46.88","52.22"
"48","17.58","22.04","25.99","31.71","40.12","47.77","53.05"
"49","17.62","22.05","26.03","31.95","40.62","48.62","53.86"
"50","17.7","22.17","26.11","32.06","40.75","48.73","54.69"
"51","17.73","22.21","26.3","32.09","40.8","48.74","54.79"
"52","17.76","22.25","26.48","32.17","40.84","48.75","54.91"
"53","17.78","22.29","26.5","32.38","40.88","48.76","55.02"
"54","17.8","22.33","26.52","32.59","40.92","48.77","55.71"
"55","17.81","22.37","26.54","33.06","40.97","48.78","56.36"
"56","17.83","22.58","26.59","33.52","41.01","48.81","57.06"
"57","18.24","22.74","26.65","34","41.05","48.99","57.65"
"58","18.25","22.75","26.89","34.7","41.18","49.1","58.13"
"59","18.39","22.98","27.28","34.71","41.55","49.37","58.55"
"60","18.58","23.2","27.7","34.95","41.93","49.63","58.92"
"61","18.95","23.92","27.71","35.68","42.3","49.92","59.27"
"62","19.27","24.68","27.93","36.01","42.58","50.69","59.64"
"63","19.35","24.92","27.94","36.24","42.87","50.78","60"
"64","19.69","25.4","28.66","36.71","43.58","51.12","60.92"
"65","20.1","25.88","28.67","36.72","43.96","51.23","61.03"
"66","20.39","26.34","28.72","36.76","43.99","51.39","61.15"
"67","20.66","26.37","29.01","36.8","44.33","51.64","61.3"
"68","20.82","27.1","30.41","36.96","44.57","51.94","61.44"
"69","21.05","27.11","30.42","37.91","44.81","52.19","61.62"
"70","21.16","27.16","31.09","38.38","45.7","52.37","62.16"
"71","21.26","27.43","31.57","38.47","46.41","53.28","62.27"
"72","21.56","27.48","32","39.35","46.76","55.04","62.59"
"73","22.31","27.5","32.13","39.48","47.27","55.34","62.72"
"74","23.34","27.52","32.55","40","48","56.2","62.85"
"75","24.2","28.29","32.65","40.66","48.91","56.76","62.97"
"76","25.12","29.33","32.76","41.32","49.52","57.69","63.3"
"77","26.08","30","33.73","41.85","49.82","58.79","63.42"
"78","26.89","30.58","34.12","42.32","50.12","59.78","63.47"
"79","27.83","31.85","34.98","42.97","51.16","60.13","63.92"
"80","28.59","32.76","35.8","43.57","52.02","60.97","64.4"
"81","29.53","33.65","36.98","43.89","52.71","61.79","65.1"
"82","30.23","34.1","37.47","44.71","52.83","63.02","65.29"
"83","31.09","35.12","38.65","44.99","53.49","63.17","65.38"
"84","32.02","35.63","39.06","45.57","54.25","63.83","66.01"
"85","32.88","36.52","39.82","46.39","54.85","64.4","66.6"
"86","33.79","37.7","40.62","47.18","55.57","64.86","67.24"
"87","34.78","38.19","41.53","47.3","56.2","65.41","67.85"
"88","35.88","39.06","42.31","48.27","56.85","65.98","68.48"
"89","37.12","40.15","43.52","48.83","57.46","66.51","69.73"
"90","38.32","40.39","43.72","48.87","57.63","66.53","69.76"
"91","38.58","40.71","44.18","48.91","57.72","66.58","70.23"
"92","39.52","41.48","44.82","49.6","58.46","66.87","70.99"
"93","40.46","42.28","45.68","50.29","58.92","67.12","71.71"
"94","41.41","43.05","46.32","50.94","59.6","67.24","72.46"
"95","42.37","43.77","47.04","51.62","60.01","67.47","73.23"
"96","43.32","44.51","48.29","52.2","60.35","67.84","73.93"
"97","44.31","45.8","48.57","53.03","61.08","67.95","74.69"
"98","45.33","46.1","49.49","53.66","61.76","68.45","75.44"
"99","46.32","46.83","50.43","54.32","62.48","69.14","76.18"
"100","47.19","47.59","51.37","55.14","63.16","69.78","76.86"
"101","47.45","47.82","51.73","55.3","63.2","69.81","76.87"
"102","47.95","48.54","52.33","56.01","63.79","70.37","77.54"
"103","49.26","49.29","52.97","56.57","64.99","71.59","78.23"
"104","49.56","50","53.6","57.17","65.21","71.8","78.96"
"105","50.37","50.76","54.21","58.33","65.61","72.22","79.64"
