"LowZip","HighZip","ZoneGround"
"10","79","8"
"80","83","7"
"84","89","8"
"100","129","8"
"130","132","7"
"133","139","8"
"140","179","7"
"180","181","8"
"182","","7"
"183","","8"
"184","188","7"
"189","","8"
"190","192","7"
"193","194","8"
"195","241","7"
"242","","6"
"243","286","7"
"287","289","6"
"290","295","7"
"296","","6"
"297","299","7"
"300","307","6"
"308","309","7"
"310","312","6"
"313","314","7"
"315","319","6"
"320","322","7"
"323","325","6"
"326","339","7"
"341","","7"
"342","349","7"
"350","374","6"
"375","","5"
"376","379","6"
"380","381","5"
"382","385","6"
"386","387","5"
"388","","6"
"389","392","5"
"393","","6"
"394","396","5"
"397","436","6"
"437","449","7"
"450","456","6"
"457","","7"
"458","479","6"
"480","487","7"
"488","495","6"
"496","497","7"
"498","499","6"
"500","503","5"
"504","","6"
"505","","5"
"506","507","6"
"508","516","5"
"520","524","6"
"525","","5"
"526","560","6"
"561","","5"
"562","567","6"
"570","573","5"
"574","","6"
"575","577","5"
"580","588","6"
"590","591","5"
"592","","6"
"593","","5"
"594","622","6"
"623","","5"
"624","633","6"
"634","676","5"
"677","679","4"
"680","729","5"
"730","739","4"
"740","745","5"
"746","748","4"
"749","","5"
"750","754","4"
"755","759","5"
"760","769","4"
"770","777","5"
"778","792","4"
"793","794","3"
"795","796","4"
"797","","3"
"798","799","2"
"800","816","4"
"820","834","5"
"835","","6"
"836","837","5"
"838","","6"
"840","844","5"
"845","","4"
"846","","5"
"847","854","4"
"855","859","3"
"860","864","4"
"865","873","3"
"874","","4"
"875","878","3"
"879","880","2"
"881","","3"
"882","883","2"
"884","","3"
"885","","2"
"889","892","4"
"893","921","5"
"922","","4"
"923","948","5"
"949","","6"
"950","953","5"
"954","955","6"
"956","959","5"
"960","","6"
"961","","5"
"970","978","6"
"979","","5"
"980","986","6"
"988","994","6"
